Sequence size,Momentum,decay,Learning rate,Batch Size,Epochs,Neurons,Loss,elapsed_sec
25,0.994911995892385,6.30551690889926E-06,0.00323847943849,25,607,86,-0.00330808091429,9862.38573217392
21,0.995533723638697,7.75421846700499E-06,0.025116887482413,19,396,21,-0.0033243953066,3747.22783374786
15,0.991598600684197,1.90836083176447E-06,0.012697650543834,17,295,48,-0.003324714620121,1866.70051145554
6,0.992753738284139,5.70710609766148E-06,0.047804805450481,24,203,10,-0.003333600959177,1874.77450919151
25,0.996836911399744,4.24220587337592E-06,0.076769584424395,22,534,29,-0.003351526169923,6974.02261185646
7,0.995339450826426,1.77369601712873E-06,0.098870185183374,29,204,18,-0.003356116906314,2417.156717062
25,0.996537345892556,4.70053450800493E-06,0.047231850122759,29,201,54,-0.003383230075014,4999.20468449593
24,0.991905325026305,3.43601066056647E-06,0.099143234739651,14,973,58,-0.003492046184938,17904.2426719666
24,0.99467581199126,8.32794872193683E-06,0.065873657556671,30,202,51,-0.003496437243243,4920.08745217323
16,0.997587869506694,9.59058602026929E-06,0.030412858113313,6,419,86,-0.003534459351019,1055.01776719093
8,0.992207338422699,6.2960362718284E-06,0.026410639777625,12,253,73,-0.003632324739009,615.29265499115
8,0.994347032663582,8.04210847804724E-06,0.061106144151622,5,424,16,-0.003634330144921,414.079421520233
7,0.998898601186362,5.61981867492947E-06,0.096486532269027,22,410,11,-0.003639462857888,4280.43343997002
20,0.996321115855836,3.78234801970775E-06,0.040739825007563,8,668,52,-0.003662966551652,2632.2020778656
27,0.993666412778278,9.32625478188836E-06,0.001874397742968,30,835,35,-0.00373974172795,16267.9877753258
22,0.995637241093172,2.74513456532547E-06,0.011846004246392,29,203,65,-0.003765733094802,4755.27165460587
5,0.990705237950318,1.28763469860828E-06,0.097789255412078,24,938,19,-0.003791500234846,6164.06117367744
10,0.994953984695432,2.24200644946859E-06,0.03441247986044,29,200,74,-0.003826005695676,2944.89138889313
7,0.995374780686536,9.26934730091817E-06,0.03339512098121,20,878,83,-0.003884426059576,3069.63925147057
29,0.994408531139876,4.43335111643533E-06,0.016891988381256,12,561,51,-0.003895304835825,4881.22046279907
19,0.996774594517111,4.23606341739119E-06,0.044355724311522,7,896,16,-0.003905170246099,2807.92773151398
9,0.993685789363311,1.10574170972923E-06,0.097629435563756,29,574,76,-0.003909186005942,8599.41121888161
7,0.992890860086238,6.51590735436444E-06,0.058447174937081,8,1019,69,-0.003952882889567,1431.42815470696
6,0.990014579903199,4.72419906696532E-06,0.083372566929851,10,259,78,-0.003967126313851,403.721596717834
26,0.997448075259039,1.18521201711577E-06,0.044392664848205,26,774,78,-0.003970079799665,13326.9274027348
26,0.993472086040795,4.11279319780686E-06,0.031644209805182,13,899,56,-0.003983041055004,7370.56978940964
14,0.990359090467138,6.23144853152889E-06,0.046437956738155,9,284,44,-0.004052756696423,879.805120944977
5,0.991077014208296,1.7243948726271E-06,0.097961999716284,17,1123,20,-0.004124454073799,7370.62777280808
10,0.990283473434174,1.21065136987251E-06,0.097343404327754,12,578,53,-0.004135245675063,9111.83782625198
13,0.998637050285738,2.84062490709604E-06,0.069067447253006,29,628,68,-0.004186612450898,5922.78823471069
26,0.993296148894756,1.1599293327174E-06,0.098808422177886,20,818,31,-0.004195441282059,13706.5315303802
20,0.993391395154894,3.1206275507497E-06,0.08911400109902,18,943,86,-0.004219704638897,8670.17607545853
7,0.997188082178726,1.26628677293039E-06,0.097802945478541,25,200,43,-0.004327151410855,2772.6718506813
23,0.995240417380336,9.5651089507265E-06,0.017286116731053,17,348,14,-0.004388427433566,3227.41028261185
15,0.998432809610859,1.28883101845015E-06,0.063563296615342,11,529,17,-0.004420806429103,2061.30309128761
7,0.990716803774569,1.34326292343114E-06,0.008546133564441,12,554,10,-0.004467787578607,1062.28756141663
23,0.995155792719373,6.99382561476868E-06,0.096710742175946,23,685,46,-0.004506340801036,11549.6672132015
10,0.995518718246733,1.99883181254754E-06,0.097943373998342,11,1108,79,-0.004675647708395,9828.13178801537
7,0.990956001128153,2.36180469906193E-06,0.097857905602829,13,1001,56,-0.004692529144481,8018.62611961365
6,0.992194235653778,4.05691524631598E-06,0.063351985781535,19,647,13,-0.0047534370582,1662.86375236511
17,0.994184335575237,1.23983406090201E-06,0.098078421101244,14,946,59,-0.004786985026301,9412.4789056778
23,0.997398138362476,9.90970095433622E-06,0.048110881442022,29,204,89,-0.004862011757325,4869.75979781151
29,0.993323167451532,4.77864276206468E-06,0.032251072986028,18,1151,78,-0.004958041597519,15476.4126553535
16,0.998183444786536,1.03613860606198E-06,0.098215691774532,21,651,98,-0.005016983428211,14100.3906579018
9,0.996935753327135,8.5585417381579E-06,0.098078044670269,12,205,34,-0.005050446557346,2752.28024220467
11,0.995868815911101,1.62878914606225E-06,0.098897511528394,27,1153,48,-0.005079616893405,15601.7684252262
10,0.996627872726934,1.05265241781092E-06,0.099096141449955,28,712,26,-0.005122878910184,10079.5535047054
7,0.996163054399728,1.30385721771143E-06,0.097174914216959,23,657,76,-0.00518992085509,7706.84701371193
5,0.991512178537462,7.28042144807834E-06,0.096545592339017,14,260,42,-0.005199019279124,3267.04299426079
23,0.997661898059122,5.42832182644507E-06,0.096495151107073,29,241,48,-0.005199152892817,6483.23465800285
7,0.991858623785253,1.4755774739658E-06,0.09843780419992,28,1009,87,-0.005222655831488,11323.4394483566
12,0.997233355348502,1.65232073372107E-06,0.098041451234355,13,633,68,-0.005224255679977,7542.28164601326
14,0.996540150166736,3.16426212204783E-06,0.076268282125141,6,1030,28,-0.005244054316865,2104.65111136436
27,0.997405363648516,7.85464435107299E-06,0.021771584437119,16,533,89,-0.005270860328792,6047.84680533409
10,0.992854544239756,1.12831713940492E-06,0.098899107899794,28,1169,68,-0.005294572899917,12309.727335453
6,0.996097332855374,9.8528751988602E-06,0.048156563207657,29,522,82,-0.005360466503829,2258.14922785759
17,0.992173869113125,1.29171240899956E-06,0.099808585967115,14,679,65,-0.005375139019818,7567.33760380745
5,0.996358952664375,1.46876253731124E-06,0.098706784082492,25,1196,98,-0.005415400651301,9550.30245447159
12,0.997721497988489,6.68011469101874E-06,0.070836107514494,13,1177,78,-0.005446505197718,4659.2201192379
26,0.997354779503037,5.59058341894954E-06,0.063791159377482,16,488,39,-0.005468072600693,4830.35880708694
10,0.998536548087508,5.45697241416916E-06,0.096532660342139,27,336,100,-0.00548436627763,4986.8127655983
10,0.995383943950171,2.01259098478951E-06,0.098151441656323,14,1030,14,-0.005515036149118,9607.97399640083
6,0.997899906618342,2.86020093199427E-06,0.052025608793362,5,200,17,-0.005566254557708,1099.94101428986
11,0.99613017314675,4.53616269342803E-06,0.040852701352939,6,568,33,-0.005677043078362,905.712265729904
22,0.993796301432441,6.23498522104961E-06,0.096649045718292,12,215,98,-0.005684641319612,3870.90532660484
10,0.995534675452544,2.113835828286E-06,0.098958044904867,9,745,17,-0.005686734748271,8445.29257011414
9,0.992907492498074,1.03353441763191E-06,0.096551349731941,11,410,11,-0.005690289368568,4227.94869327545
20,0.996676659261126,1.72178432486839E-06,0.099472104841992,27,660,16,-0.00569412757869,17417.4356529713
21,0.995890947221226,1.23119655889573E-06,0.09977851245221,14,634,16,-0.005754898082795,7875.20733356476
26,0.998908148245369,5.81766017009569E-06,0.053796787907383,18,208,93,-0.005771532754076,2561.15218400955
15,0.993591637927404,2.0767357193444E-06,0.096489705126328,29,382,21,-0.005801787347678,7073.45385456085
17,0.993159578007215,7.4578689205335E-06,0.048093708345023,10,912,70,-0.005807084423558,3943.5510327816
8,0.997222365372633,1.13048182264136E-06,0.099212889013418,8,873,42,-0.005901901999306,7457.05492377281
22,0.997634287863023,2.33290119246365E-06,0.098587893544832,17,615,25,-0.005925625709265,12033.6458809376
19,0.995292377785967,1.24578996092889E-06,0.09946671128944,24,881,12,-0.005951976138016,15045.6310696602
20,0.996332820584421,1.73851481768316E-06,0.098662756316106,18,653,14,-0.006035812386115,13276.5502989292
18,0.990396026555069,2.55798460983037E-06,0.049879860760529,5,1185,36,-0.006043113905515,2605.80390572548
20,0.992526391026822,4.51729792324689E-06,0.018312565702873,28,212,45,-0.006089252710736,2940.3172750473
20,0.994688900961632,8.21946968258443E-06,0.054613423946498,12,820,95,-0.006104126271651,5131.07202506065
29,0.997157961941814,1.24314383122517E-06,0.038295666379467,16,1191,50,-0.006106536263819,13578.8905973434
11,0.993093149233151,7.86196170314707E-06,0.096581349562344,10,250,18,-0.006118299790433,3427.07043671608
13,0.99797556093056,1.75386713328945E-06,0.098823470689332,29,982,33,-0.006132805925488,17595.8733694553
26,0.997695800514824,9.79197293204783E-06,0.08828825210167,29,931,28,-0.006137279239638,16774.9368011951
18,0.993631321834244,1.38365315717295E-06,0.099389878121295,22,1073,40,-0.006162350192951,18794.9342200756
5,0.996356180784914,6.80796995936237E-06,0.096457733514776,7,252,48,-0.006215909132329,2828.13658881187
23,0.995419114544159,2.42274499679398E-06,0.014980988299668,15,236,81,-0.006230355403068,2133.47776603699
10,0.991047098457948,9.48470068963516E-06,0.096787186298471,15,201,36,-0.006458507241199,2848.54991436005
17,0.997058679088519,1.2249730345916E-06,0.099473424423427,24,757,53,-0.006520179703775,11386.969009161
6,0.993628023926258,1.89193161706752E-06,0.097769816681142,7,928,49,-0.006544841835529,6776.57624411583
24,0.994701367608331,1.94895520851566E-06,0.099151598066113,9,1173,35,-0.006608488822079,13956.6355929375
16,0.993198942675247,1.39050402145969E-06,0.09754084542296,18,868,96,-0.006615867990346,12626.1407566071
5,0.997537936361847,6.23392529419086E-06,0.063325228207821,6,201,73,-0.006643517998791,1252.40020489693
20,0.997317622899878,1.46953080493464E-06,0.098911116816716,20,809,25,-0.006661329810742,17014.5929069519
10,0.990650700872808,1.86292850256452E-06,0.099922461917407,24,1113,22,-0.006680542139855,12685.9283573627
21,0.993436070518657,9.79302795918969E-06,0.09755632579256,23,204,83,-0.006709381962893,4501.2943418026
29,0.998517254852059,2.68522843182794E-06,0.098768669823014,12,966,28,-0.006713180609315,18284.6111609936
20,0.997587968509778,3.40190889981216E-06,0.072396027502605,23,859,12,-0.00672032641826,9137.19258904457
17,0.99005097123157,5.08869917813357E-06,0.045678215634616,9,461,49,-0.006739817247198,1756.74366116524
9,0.993941475634815,4.04478845546733E-06,0.097775225126032,10,208,42,-0.006844916781695,2807.94686579704
13,0.996267993118841,1.29190671182573E-06,0.099337741900533,27,977,58,-0.006870122529377,13349.1205091476
29,0.996374209538482,9.56759320452533E-06,0.098165146108732,8,984,71,-0.006881819540513,19929.4097585678
6,0.99106330198738,5.39686292693079E-06,0.096711391448989,19,299,68,-0.006903626852817,3470.52058458328
11,0.996244525813504,5.95330028423934E-06,0.054028641057443,24,958,11,-0.006922015311503,5813.29086446762
22,0.996901076648091,1.04720201645899E-06,0.098706449932325,22,834,31,-0.00698393109433,13473.0980067253
22,0.990709168905063,1.29269444657517E-06,0.099612072276589,27,782,25,-0.007061791105796,15896.0912981033
26,0.996235756695309,2.30746387193499E-06,0.097893930956155,23,699,69,-0.007069021392788,19533.0032610893
24,0.996685390187329,4.266099277376E-06,0.047372427602918,10,403,32,-0.007170761209882,2351.70999336243
20,0.99812949878443,1.96667773530834E-06,0.099959871846312,11,846,31,-0.007192860159493,11297.1155974865
30,0.990801959591165,5.73044781802389E-06,0.09837740489194,18,587,51,-0.007312213341167,7772.12557601929
